檔名,揮拍軌跡正確度,揮拍速度流暢度,手腕轉動時機正確度,擊球時機正確度,擊球位置正確度,評語
h001,4,4,3,3,3,"擊球時手腕使用較少,每拍擊球時機點及擊球位置可再一致"
h002,4,4,1,4,4,"擊球時未使用手腕"
h003,4,4,4,4,4,"多加練習將擊球時間及擊球位置調整得更一致會更好"
h004,2,3,1,2,2,"擊球位置太後面，揮拍未用手腕，揮拍軌跡不夠完整"
h005,5,5,5,5,5,"單就高遠球揮拍及擊球動作皆算標準"
h006,5,5,5,5,5,"單就高遠球揮拍動作及擊球皆算標準"
h007,4,5,4,3,2,"擊球點偏後，再前面一點擊球會更好"
h008,4,4,2,4,2,"擊球位置不固定，擊球時手腕使用可再多一些"
h009,3,3,1,1,2,"揮拍時未使用手腕，擊球時間掌握的不佳，揮拍軌跡不正確"
h010,4,4,1,3,3,"擊球時未使用手腕，擊球位置不正確"
h011,5,5,5,5,3,"每拍擊球位置差異較大，揮拍及手腕使用皆算正確"
h012,4,4,2,3,2,"揮拍時手腕使用較少，擊球時間點不正確導致影響擊球位置正確度"
h013,5,4,4,4,4,"整體揮拍擊球還算正確"
h014,5,5,5,5,5,"非常正確"
h015,5,5,5,5,5,"揮拍動作及擊球時間點皆標準"
h016,5,4,3,5,4,"擊球時手腕可再多使用一些"
h017,4,4,4,5,3,"擊球位置偏身後，可再前面一點擊球"
h018,1,2,1,3,3,"擊球未用手腕，揮拍軌跡不完全"
h019,3,3,2,2,2,"握拍不正確，導致擊球未正確使用手腕，擊球位置也太低"
h020,5,5,5,5,5,"標準"
h021,4,5,3,4,4,"擊球時手腕轉動時機再更準確會更好"
h022,3,4,3,4,3,"擊球時手腕轉動太少"
h023,3,4,2,2,1,"擊球位置不正確，擊球手腕使用太少"
h024,5,5,5,5,5,"正確"
h025,4,4,4,3,3,"擊球點太高，手伸太直，導致擊球無法出力"
h026,4,2,3,2,2,"揮拍不流暢，擊球點誤差太大"
h027,4,3,2,4,2,"擊球位置誤差太大，擊球時手腕使用較少"
h028,4,4,3,4,3,"揮拍未向後做完整引拍動作"
h029,5,5,4,4,4,"揮拍動作尚算標準"
h030,3,4,4,4,4,"揮拍動作不夠完整"
h031,5,5,5,5,3,"擊球位置變動較大"
h032,4,4,3,4,3,"揮拍動作不夠完整"
h033,5,5,5,5,3,"擊球位置較不固定"
h034,2,2,1,2,2,"揮拍動作不完全，擊球時間不準確，擊球未使用手腕"
h035,5,5,5,5,5,"標準"
h036,5,5,4,5,4,"動作尚算標準"
h037,5,5,5,5,4,"標準"
h038,4,3,2,3,2,"揮拍時引拍不夠完整，手腕使用較少，擊球點太低"
h039,4,4,4,4,4,"揮拍時肩膀聳起來了，導致揮拍動作結束時手未順勢下擺"
h040,5,5,3,4,4,"擊球時手腕可再多使用一些"
h041,4,5,5,5,5,"揮拍動作可再完整些"
h042,5,5,5,5,5,"揮拍動作標準"
h043,3,4,2,1,2,"手腕轉動跟擊球時機錯誤"
h044,1,1,1,1,1,"揮拍動作不完整，擊球未使用手腕，擊球時間不對"
h045,2,4,3,3,2,"揮拍動作不完整，擊球未使用手腕"
h046,4,4,4,2,2,"擊球時間點誤差較大"
h047,5,5,5,5,5,"標準"
h048,3,3,1,3,2,"擊球未使用手腕"
h049,2,2,3,3,3,"揮拍動作不夠完整"
h050,4,4,3,3,2,"擊球位置誤差較大，手腕使用較少"
h051,1,1,1,2,1,"動作不完整，擊球未使用手腕"
h052,5,5,3,5,4,"手腕轉動較少"
h053,4,4,3,4,2,"擊球位置誤差較大"
h054,4,4,4,4,4,"揮拍動作尚算標準"
h055,5,5,5,5,5,"標準"
h056,1,2,1,3,1,"揮拍動作不完整,擊球未使用手腕,擊球位置誤差大"
h057,5,5,5,5,5,"標準"
h058,5,5,4,5,5,"有幾拍手腕轉動不太足夠"
h059,5,5,4,4,3,"擊球位置較不固定"
h060,4,4,4,4,3,"擊球位置稍偏身後了，擊球位置可往前調整"
h061,3,3,2,3,3,"擊球時手腕使用較少"
h062,5,5,3,4,4,"手腕使用太少"
h063,3,4,4,4,4,"揮拍動作不夠完整"
h064,5,5,5,5,5,"標準"
h065,4,4,2,4,4,"手腕使用較少"
h066,4,4,3,4,4,"擊球時手臂擺速可再加快"
h067,5,5,5,5,5,"標準"
h068,4,4,3,3,2,"擊球位置誤差較大"
h069,3,4,3,3,2,"揮拍動作不夠完整"
h070,4,4,3,2,2,"擊球時間跟擊球位置每拍誤差較大"
h071,2,3,1,2,1,"揮拍動作不完整，擊球未使用手腕，擊球位置及時間誤差大"
h072,3,3,2,3,3,"擊球未使用手腕"
h073,5,5,5,5,5,"標準"
h074,5,5,4,4,4,"揮拍動作算標準，但動作一致性可再加強"
h075,3,3,1,3,2,"揮拍動作不完整，擊球未使用手腕，擊球點誤差較大"
h076,3,3,4,3,2,"揮拍動作不完整，擊球位置誤差大"
h077,5,5,5,5,5,"標準"
h078,4,5,3,4,3,"擊球位置較不固定"
h079,5,5,4,5,5,"擊球時手腕可再多使用一些"
h080,2,2,3,1,1,"揮拍動作不完整，擊球時間太晚導致擊球位置太低"
h081,5,5,5,5,5,"標準"
h082,5,4,4,4,4,"揮拍動作算標準，揮拍穩定度可再加強"
h083,3,4,1,2,1,"揮拍動作不完整，擊球時未使用手腕，擊球時間及位置誤差較大"
h084,4,4,4,1,1,"擊球時間及位置誤差較大"
h085,5,5,5,5,5,"標準"
h086,5,4,4,3,3,"擊球時間及位置較不準確"
h087,5,5,4,5,4,"擊球時手腕可再使用多一點，擊球位置可再準確一點"
h088,3,4,3,4,1,"揮拍軌跡誤差大，擊球位置誤差大"
h089,5,5,5,5,4,"擊球位置可再準確一點"
h090,2,3,2,3,2,"揮拍動作不完整，擊球位置誤差大，擊球時未使用手腕"
h091,4,2,1,1,2,"擊球未使用手腕，擊球時間及位置誤差大，揮拍不流暢"
h092,2,3,1,3,3,"揮拍動作不完整，揮拍不流暢，擊球未使用手腕"
h093,4,3,2,2,1,"擊球時間太慢導致球點太低，進而影響動作正確性"
h094,4,3,2,3,2,"揮拍較不流暢，擊球時手腕使用較少，擊球位置誤差大"
h095,2,2,1,1,1,"握拍錯誤，揮拍動作不正確，擊球時未使用手腕，擊球時間點及位置誤差大"
h096,4,4,5,5,5,"揮拍動作不夠完整"
h097,1,1,1,1,1,"此動作非正手高遠球揮拍動作"
h098,1,3,1,2,2,"握拍錯誤，揮拍動作不正確，擊球時未使用手腕，擊球時間及位置誤差大"
h099,3,3,3,4,4,"揮拍動作不夠完整，擊球時手臂擺速可再加快，擊球時手腕可使用多一點"
h100,1,2,2,1,2,"揮拍動作不夠完整，揮拍不流暢，擊球未使用手腕，擊球時間誤差大"
h101,3,3,1,2,2,"握拍不正確，揮拍動作不完整，擊球時未使用手腕，擊球時間及位置誤差大"
h102,3,2,2,3,3,"揮拍動作不夠完整，揮拍不流暢，擊球時未使用手腕"
h103,5,5,5,5,5,"標準"
h104,5,5,5,5,5,"標準"
h105,4,2,2,2,2,"揮拍不夠流暢，擊球時手腕使用太少，擊球時間及位置誤差大"
h106,3,3,1,2,1,"揮拍動作不完整，擊球時未使用手腕，擊球時間及位置誤差大"
h107,4,2,1,1,1,"揮拍不流暢，擊球未使用手腕，抓不到擊球時間及位置導致打不到球"
h108,4,2,3,2,2,"揮拍不流暢，擊球時間誤差大，擊球位置稍偏身後了"
h109,4,5,5,5,4,"擊球位置可再精準一些"
h110,3,2,1,3,2,"揮拍動作不完整，擊球時未使用手腕，擊球位置不正確"
h111,4,5,3,5,4,"擊球時手腕可再轉動多一點，擊球點可再高一點，因擊球點太低導致揮拍軌跡不夠正確"
h112,2,2,1,3,2,"揮拍動作不完整，揮拍不流暢，擊球未使用手腕，擊球位置誤差大"
h113,2,2,1,1,1,"握拍錯誤，揮拍動作不完整，擊球未使用手腕，擊球時間及位置錯誤"
h114,4,2,1,2,2,"揮拍動作不流暢，擊球時未使用手腕，擊球時間及位置誤差大"
h115,5,5,5,5,5,"標準"
h116,5,4,3,4,4,"擊球時手腕可多使用一些"
h117,5,5,5,5,5,"標準"
h118,4,3,2,3,2,"揮拍不夠流暢，擊球時手腕使用太少，擊球位置太低"
h119,4,2,2,3,2,"揮拍不流暢，擊球時手腕轉動太少，擊球位置誤差大"
h120,4,2,1,2,2,"揮拍不流暢，擊球未使用手腕，擊球時間及位置誤差大"
h121,2,3,1,3,3,"揮拍動作不正確，擊球時未使用手腕"
h122,4,5,2,5,2,"擊球位置太偏身後了導致擊球點不固定，因擊球位置不固定導致手腕轉動時間點不正確"
h123,3,2,2,4,3,"揮拍動作不正確，少了引拍動作，揮拍不流暢，擊球時手腕使用較少"
h124,5,5,5,5,5,"標準"
h125,5,5,5,5,5,"標準"
h126,5,5,5,5,5,"標準"
h127,3,3,2,2,2,"揮拍動作不完整，揮拍不夠流暢，擊球時間及位置誤差大"
h128,4,4,2,3,3,"擊球時手腕轉動較少"
h129,5,2,3,2,3,"揮拍動作不夠流暢，可加快手臂擺速，因揮拍動作不流暢導致擊球時間點誤差大"
h130,4,3,3,3,3,"擊球時手腕轉動太少，揮拍流暢度及擊球時間可再加強"
h131,3,3,2,3,2,"揮拍動作的引拍太少導致動作不夠完整，擊球時手腕使用較少，擊球位置誤差大"
h132,4,4,3,4,2,"擊球點太低導致揮拍動作不夠正確"
h133,5,5,5,5,5,"標準"
h134,4,3,2,2,2,"擊球時間誤差大導致擊球不夠精準，擊球時手腕使用較少，揮拍不夠流暢"
h135,3,3,2,3,3,"揮拍動作不夠完整，擊球時手腕使用較少"
h136,3,4,1,3,3,"揮拍動作不夠完整，擊球時未使用手腕"
h137,1,2,1,2,1,"揮拍不夠流暢，擊球時未使用手腕，擊球位置及時間誤差大導致打不到球"
h138,5,3,3,2,2,"揮拍不夠流暢，擊球時手腕可再轉動多一點，擊球時間及位置誤差大"
h139,4,4,1,4,4,"擊球時手腕使用可再多點"
h140,4,4,3,3,1,"握拍錯誤，擊球點太低了導致揮拍軌跡不夠正確"
h141,2,2,1,1,1,"揮拍動作不正確，擊球時未使用手腕，擊球時間及位置誤差大，導致球打不出去"
h142,4,3,2,4,4,"揮拍動作不夠完整，揮拍不夠流暢，擊球時手腕使用較少"
h144,5,5,5,5,5,"標準"
h145,5,4,5,5,5,"擊球時手臂擺速可再加快"
h146,3,2,1,1,2,"揮拍動作不正確，擊球時未使用手腕，擊球時間及位置誤差大"
h147,3,4,3,3,3,"揮拍動作不夠完整"
h148,2,3,3,4,4,"揮拍動作沒有引拍的動作，整體動作不夠完整"
h149,5,4,4,4,4,"擊球時可加快手臂擺速及增加手腕轉動"
h150,3,4,3,5,5,"揮拍動作少了引拍的動作，導致動作不夠完整，擊球時手腕可轉動多一點"
h151,5,5,5,5,5,"標準"
h152,5,5,5,5,5,"標準"
h153,3,2,1,2,3,"揮拍動作不夠完整，揮拍不流暢，擊球時未使用手腕，擊球時間誤差大，導致打不到球"
h154,4,3,2,1,2,"揮拍不流暢，擊球時間誤差大，擊球點誤差大導致揮拍軌跡不正確"
h155,5,5,5,5,5,"標準"
h156,5,5,5,5,5,"標準"
h157,5,4,5,5,5,"擊球時可增加手臂擺速，以提升揮拍流暢度"
h158,5,5,5,5,5,"標準"
h159,2,2,1,2,1,"握拍錯誤，揮拍動作缺少引拍動作，導致動作不正確，擊球時未使用手腕，擊球時間及位置誤差大，導致打不到球"
h160,5,5,4,5,5,"擊球時手腕轉動可多一些"
h161,3,4,2,4,4,"揮拍動作不夠完整，擊球時未使用手腕"
h162,5,5,5,5,5,"標準"
h163,2,2,1,2,2,"握拍錯誤，揮拍動作不完整，擊球時未使用手腕，擊球時間及位置誤差大"
h164,2,3,2,3,2,"揮拍動作不完整，擊球時手腕使用較少，擊球位置誤差大"
h165,5,3,3,3,2,"揮拍不夠流暢，擊球位置誤差大"
h166,4,3,3,4,4,"擊球時手臂擺速可再加快，可提升揮拍流暢性"
h167,5,5,4,4,3,"擊球點偏低"
h168,4,3,3,4,3,"擊球時可加快手臂擺速，提升揮拍流暢度，擊球點誤差較大"
h170,3,2,1,1,2,"揮拍動作不夠完整，揮拍動作不流暢，擊球時未使用手腕，擊球時間及位置誤差大"
h171,4,3,2,3,2,"輝拍不夠流暢，擊球時手腕使用較少，擊球點誤差較大"
h172,3,3,2,2,3,"揮拍動作不夠完整，擊球時間誤差較大，導致常常打不到球"
h173,5,5,5,5,5,"標準"
h174,5,5,5,5,5,"標準"
h175,5,3,2,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度，擊球時手腕使用較少"
h176,5,3,5,5,5,"擊球時可加快手臂擺速，提升揮拍流暢度"
h177,5,3,3,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度，擊球時手腕可再多轉動一些"
h178,2,3,2,3,2,"握拍錯誤，揮拍動作缺少引拍動作，擊球時手腕使用較少，擊球點誤差大"
h179,4,4,4,4,2,"擊球點太低，影響揮拍軌跡正確性"
h180,4,2,2,2,2,"揮拍動作不流暢，擊球時手腕使用較少，擊球時間及位置誤差大"
h181,5,4,4,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度"
h182,3,2,2,2,2,"揮拍不夠流暢，擊球時手腕使用較少，擊球時間及位置誤差大"
h183,3,3,2,3,2,"握拍錯誤，揮拍動作缺少引拍動作，擊球時手腕使用較少，擊球位置誤差大"
h184,3,2,1,1,2,"握拍錯誤，揮拍動作缺少引拍動作，擊球時未使用手腕，擊球時間及位置誤差大"
h185,5,2,4,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度"
h186,4,3,3,4,4,"揮拍動作不夠完整，可再加強引拍動作"
h187,5,5,5,5,5,"標準"
h188,4,4,4,4,4,"揮拍動作不夠完整，可再加強引拍動作及側身"
h189,5,4,4,3,3,"擊球時間點及位置可再更精準一些"
h190,5,5,5,5,5,"標準"
h191,5,5,5,5,5,"標準"
h192,4,4,3,4,4,"揮拍動作可再加強引拍動作，讓動作更完整，擊球時手腕可多轉動一些"
h193,4,4,4,4,2,"擊球位置誤差較大"
h194,5,5,5,5,5,"標準"
h195,5,4,4,5,5,"可再提升揮拍流暢度"
h196,5,5,5,5,5,"標準"
h197,4,5,4,5,5,"有幾顆球手腕轉動不夠，揮拍動作可再加強引拍動作，讓動作更完整"
h198,5,5,5,5,5,"標準"
h199,4,4,4,4,3,"揮拍動作可再加強引拍動作，增加動作完整性，擊球點不固定，動作常常跑掉，進而影響擊球"
h200,4,3,1,4,4,"揮拍動作不夠完整，缺少引拍動作，揮拍動作不夠流暢，擊球時未使用手腕"
h201,4,5,4,5,5,"揮拍動作不夠完整，沒有順勢下收，手腕轉動可再多一點"
h202,3,3,2,4,3,"揮拍動作不夠完整，缺少引拍動作，揮拍可加快手臂擺速，提升揮拍流暢度，擊球時手腕使用太少，擊球位置誤差大"
h203,5,5,5,5,5,"標準"
